block_number,timestamp,path_description,path_hops,path_tokens,optimal_input_amount,expected_output_amount,gross_profit_mnt,gas_cost_mnt,net_profit_mnt,profit_margin_percent,involved_pools,liquidity_score
84436717,1757003746,"Pool_0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953 -> Pool_0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1 -> Pool_0x763868612858358f62b05691dB82Ad35a9b3E110",3,"Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8 -> Token_0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07 -> Token_0x4515A45337F461A11Ff0FE8aBF3c606AE5dC00c9 -> Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8",17879410073510490612,17959573387707475898,0.080163,0.014000,0.066163,82.535652,"0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953,0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1,0x763868612858358f62b05691dB82Ad35a9b3E110",2585944.122457
84436718,1757003748,"Pool_0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953 -> Pool_0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1 -> Pool_0x763868612858358f62b05691dB82Ad35a9b3E110",3,"Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8 -> Token_0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07 -> Token_0x4515A45337F461A11Ff0FE8aBF3c606AE5dC00c9 -> Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8",17879410073510490612,17959573387707475898,0.080163,0.014000,0.066163,82.535652,"0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953,0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1,0x763868612858358f62b05691dB82Ad35a9b3E110",2585944.122457
84436719,1757003750,"Pool_0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953 -> Pool_0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1 -> Pool_0x763868612858358f62b05691dB82Ad35a9b3E110",3,"Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8 -> Token_0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07 -> Token_0x4515A45337F461A11Ff0FE8aBF3c606AE5dC00c9 -> Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8",17879410073510490612,17959573387707475898,0.080163,0.014000,0.066163,82.535652,"0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953,0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1,0x763868612858358f62b05691dB82Ad35a9b3E110",2585944.122457
84436720,1757003752,"Pool_0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953 -> Pool_0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1 -> Pool_0x763868612858358f62b05691dB82Ad35a9b3E110",3,"Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8 -> Token_0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07 -> Token_0x4515A45337F461A11Ff0FE8aBF3c606AE5dC00c9 -> Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8",17879410073510490612,17959573387707475898,0.080163,0.014000,0.066163,82.535652,"0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953,0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1,0x763868612858358f62b05691dB82Ad35a9b3E110",2585944.122457
84436721,1757003754,"Pool_0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953 -> Pool_0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1 -> Pool_0x763868612858358f62b05691dB82Ad35a9b3E110",3,"Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8 -> Token_0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07 -> Token_0x4515A45337F461A11Ff0FE8aBF3c606AE5dC00c9 -> Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8",17879410073510490612,17959573387707475898,0.080163,0.014000,0.066163,82.535652,"0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953,0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1,0x763868612858358f62b05691dB82Ad35a9b3E110",2585944.122457
84436722,1757003756,"Pool_0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953 -> Pool_0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1 -> Pool_0x763868612858358f62b05691dB82Ad35a9b3E110",3,"Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8 -> Token_0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07 -> Token_0x4515A45337F461A11Ff0FE8aBF3c606AE5dC00c9 -> Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8",17879410073510490612,17959573387707475898,0.080163,0.014000,0.066163,82.535652,"0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953,0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1,0x763868612858358f62b05691dB82Ad35a9b3E110",2585944.122457
84436723,1757003758,"Pool_0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953 -> Pool_0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1 -> Pool_0x763868612858358f62b05691dB82Ad35a9b3E110",3,"Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8 -> Token_0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07 -> Token_0x4515A45337F461A11Ff0FE8aBF3c606AE5dC00c9 -> Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8",17879410073510490612,17959573387707475898,0.080163,0.014000,0.066163,82.535652,"0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953,0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1,0x763868612858358f62b05691dB82Ad35a9b3E110",2585944.122457
84436724,1757003760,"Pool_0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953 -> Pool_0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1 -> Pool_0x763868612858358f62b05691dB82Ad35a9b3E110",3,"Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8 -> Token_0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07 -> Token_0x4515A45337F461A11Ff0FE8aBF3c606AE5dC00c9 -> Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8",17879410073510490612,17959573387707475898,0.080163,0.014000,0.066163,82.535652,"0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953,0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1,0x763868612858358f62b05691dB82Ad35a9b3E110",2585944.122457
84436725,1757003762,"Pool_0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953 -> Pool_0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1 -> Pool_0x763868612858358f62b05691dB82Ad35a9b3E110",3,"Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8 -> Token_0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07 -> Token_0x4515A45337F461A11Ff0FE8aBF3c606AE5dC00c9 -> Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8",17879410073510490612,17959573387707475898,0.080163,0.014000,0.066163,82.535652,"0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953,0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1,0x763868612858358f62b05691dB82Ad35a9b3E110",2585944.122457
84436726,1757003764,"Pool_0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953 -> Pool_0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1 -> Pool_0x763868612858358f62b05691dB82Ad35a9b3E110",3,"Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8 -> Token_0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07 -> Token_0x4515A45337F461A11Ff0FE8aBF3c606AE5dC00c9 -> Token_0x78c1b0C915c4FAA5FffA6CAbf0219DA63d7f4cb8",17879410073510490612,17959573387707475898,0.080163,0.014000,0.066163,82.535652,"0xEFC38C1B0d60725B824EBeE8D431aBFBF12BC953,0xb670D2B452D0Ecc468cccFD532482d45dDdDe2a1,0x763868612858358f62b05691dB82Ad35a9b3E110",2585944.122457
